ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
79,Collin Sexton,CLE,Cleveland Cavaliers,Point Guard,4764960,21,55,32.8,18.1,7,15.4,1.9,5.5,2.9,3.2,0.8,3.2,3.9,4.8,1.2,0.3,2.3,18,2.2
80,Cory Joseph,SAC,Sacramento Kings,Point Guard,12000000,28,61,32.5,5.6,7.5,14.2,1.1,3,2.5,3,1,3,4,1.4,1.1,0.4,1.3,17.1,2.2
81,Courtney Lee,DAL,Dallas Mavericks,Shooting Guard,12759670,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Cristiano Felicio,CHI,Chicago Bulls,Power Forward,8156500,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,D.J. Augustin,ORL,Orlando Magic,Point Guard,7250000,32,56,34.5,9.6,6.7,14.8,1.9,5.5,3.4,4.4,1.2,5.3,6.4,1.5,1.3,0.7,1.5,18.1,1.1
84,D.J. Wilson,MIL,Milwaukee Bucks,Power Forward,2961120,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Damian Jones,ATL,Atlanta Hawks,Center,2305057,24,60,29.3,8,6.1,14.7,1.8,4.9,4.6,5.4,0.5,2.6,3.1,5.7,0.7,0.2,2.9,16.1,3.4
86,Damian Lillard,POR,Portland Trail Blazers,Point Guard,29802321,29,63,27.8,26.6,7.5,12.9,0,0.3,3.7,5.6,2.6,4.5,7.1,1.7,0.6,1.1,1.7,20.1,2.1
87,Damion Lee,GSW,Golden State Warriors,Shooting Guard,842327,27,62,34.8,10,7.4,13.7,0.3,1.1,3.5,4.8,3,9.4,12.4,5,0.8,0.5,2.7,26.8,1.6
88,Damyean Dotson,NYK,New York Knicks,Shooting Guard,1618520,26,63,35.1,6.1,5.8,15.3,3.5,9.3,3,3.7,0.7,2.7,3.4,7.5,1,0.2,2.9,17.3,0.9
89,D'Angelo Russell,MIN,Minnesota Timberwolves,Shooting Guard,27285000,24,50,26,23.7,7.4,15.1,0.9,2.9,2.4,2.8,0.5,1.9,2.4,5.6,0.8,0.3,2.5,16.6,1.7
90,Daniel Gafford,CHI,Chicago Bulls,Power Forward,898310,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Daniel Theis,BOS,Boston Celtics,Center,5000000,28,63,34.4,6.5,6.3,14.9,2.7,6.7,2.6,3,0.8,3.6,4.4,4.1,1,0.2,2.2,16.4,3.1
92,Danilo Gallinari,OKC,Oklahoma City Thunder,Power Forward,22615559,31,57,32.9,18.4,7.3,13.8,0.1,0.6,3,5.2,4.4,10.8,15.2,2.7,1.9,1.6,3.6,26.9,1.6
93,Danny Green,LAL,Los Angeles Lakers,Shooting Guard,14634146,32,63,31.8,8.3,6.3,12.8,1.6,4.4,3.6,4,0.3,4.6,4.9,6.8,1.6,0.1,2.2,22,2.4
94,Dante Exum,CLE,Cleveland Cavaliers,Point Guard,9600000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Danuel House Jr.,HOU,Houston Rockets,Small Forward,3540000,27,59,30,0,6.7,13.6,0.9,2.4,3.5,4.5,0.7,2.8,3.5,6.9,0.9,0.3,3.2,18.1,0
96,DaQuan Jeffries,SAC,Sacramento Kings,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Dario Saric,PHX,Phoenix Suns,Power Forward,3481986,26,56,31.8,10.8,5.8,13,2.6,7,3.3,3.9,1,8.8,9.8,3.2,0.6,0.3,2.5,21.3,2.5
