Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
2012,CHILE,VALPARAISO,-32.625,-71.365,29,6.7,2
2017,CHILE,VALPARAISO,-33.038,-72.062,28,6.9,
1550,ITALY,VALLO DI DIANO,40.7,15.1,,,
1561,ITALY,VALLO DI DIANO,40.5,15.5,,,
1808,ITALY,"VALLEY OF PELLICE, CHISONE",44.833,7.25,,5.7,2
1903,CHILE,"VALLENAR, FREIRINA",-28.5,-71,,6.5,
1923,CHILE,VALLENAR,-28.75,-71.75,60,7,
1926,CHILE,VALLENAR,-28,-71,33,6,
1748,SPAIN,VALENCE,39,-0.65,,,
1961,CHILE,"VALDIVIA, CURICO",-36.7,-73,15,6.5,
1869,CHILE,"VALDIVIA, CORRAl",-39.9,-73.4,,,
1737,CHILE,"VALDIVIA, CHILOE",-43,-74,,8,
1575,CHILE,VALDIVIA,-39.8,-73.2,,8.5,21
1837,CHILE,VALDIVIA,-42.5,-74,,8.5,
2013,TAJIKISTAN,VAHDAT,38.41,68.89,23,5.2,
1892,USA,"VACAVILLE,WINTERS",38.5,-122.5,,,
1895,TURKMENISTAN,UZUN-ADA,39.5,53.7,60,8.2,
1799,UZBEKISTAN,UZGUT,39.4,67.2,10,6,
1990,KYRGYZSTAN,UZGEN,40.854,73.553,29,4.6,
2007,INDIA,"UTTARKASHI, CHAMOLI, MUZAFFARNAGAR",30.881,78.239,19,4.3,
2005,INDIA,UTTARANCHAL,30.924,78.56,43,4.4,
2011,NEPAL,"UTTARAKHAND, UTTAR PRADESH",29.698,80.754,26,5.4,
1803,INDIA,"UTTARAKHAND, MATHURA (MUTTRA)",31,79,,7.5,
412,TUNISIA,UTIQUE,37.067,10.067,,,
1946,TURKEY,USTUKRAN,39.3,41.2,,5.9,840
1990,KAZAKHSTAN,"UST, ZAYSAN",47.869,85.076,58,6.8,1
1911,TAJIKISTAN,"USOY, BARCHIDIV, POSOR, NISUR",38.2,72.8,26,7.4,90
1944,TURKEY,USAK,38.9,29.3,33,6,21
1852,PAKISTAN,"UPPER SINDH, FORT KAHAN, MURREE HILLS",27.7,68.8,,,350
1775,HAITI,UNKNOWN LOCATION,19,-72.4,,,
1775,HAITI,UNKNOWN LOCATION,19,-72.4,,,
1781,JAMAICA,UNKNOWN LOCATION,18.1,-77.3,,,
1946,USA,UNIMAK ISLAND,53.492,-162.832,15,8.6,
1788,USA,UNGA ISLAND,57,-153,,8,
1983,PAPUA NEW GUINEA,"ULAWUN, RABAUL",-5.392,151.868,26,6.4,10
1694,JAPAN,UGO,40,139.5,,,394
-2000,SYRIA,UGARIT,35.683,35.8,,,
1640,JAPAN,UCHIURA BAY,42.07,140.68,,6.5,
1806,ITALY,TYRRHENIAN SEA,41.7,12.7,,,
1870,ITALY,TYRRHENIAN SEA,39.28,16.28,,,
1895,ITALY,TYRRHENIAN SEA,41.7,12.2,,,
1897,ITALY,TYRRHENIAN SEA,39,12.5,,,
1919,ITALY,TYRRHENIAN SEA,41.4,12.6,10,5.6,
1783,ITALY,TYRRHENIAN CALABRIA,38.9,17.1,,,
1783,ITALY,TYRRHENIAN CALABRIA,38.3,15.967,13,6.9,30000
1783,ITALY,TYRRHENIAN CALABRIA,38.583,16.2,,6.6,
1783,ITALY,TYRRHENIAN CALABRIA,38.767,16.3,,5.9,
1783,ITALY,TYRRHENIAN CALABRIA,38.783,16.467,,6.9,
1935,MEXICO,"TUXTLA GUTIERREZ,GUERRERO,MEXICO CITY",16.5,-93.1,,,
1676,JAPAN,TUWANO,34.5,132,,,7
1971,ITALY,TUSCANIA,42.5,11.8,33,4.6,24
1993,COSTA RICA,"TURRIALBA, CARTAGO",9.821,-83.622,20,5.8,2
1923,IRAN,TURBAT-HAKLARI,35.2,59.2,,5.7,2200
1865,IRAQ,"TURAQ, JASSAN, KUT-AL-AMARAH, BAGHDAD",33.2,44.26,,,
1758,TUNISIA,"TUNIS, CONSTANTINE",36.8,10.2,,,3000
856,TUNISIA,TUNIS,36.8,10.2,,,45000
1698,ECUADOR,"TUNGURAHUA,COTOPAXI,CHIMBORAZO",-1.2,-78.7,,7.7,
1967,TURKEY,TUNCELI,39.5,40.4,8,6.2,97
1993,USA TERRITORY,"TUMAN BAY, APRA HARBOR",12.982,144.801,59,7.8,
1969,SOUTH AFRICA,TULBAGH,-33.1,19.6,33,5.8,
1089,SYRIA,TUDMUR (PALMYRA),34.3,38.2,,,
1700,JAPAN,"TSUSHIMA, NAGASAKI PREFECTURE",34.2,129.3,,7,
1948,GREECE,TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,33,6.4,6
1619,PERU,"TRUJILLO, PIURA, SANTA",-7.941,-79.038,40,8.6,350
1725,PERU,"TRUJILLO, ANCASH, LIMA",-9,-79,60,7.7,1500
1658,PERU,TRUJILLO,-8.1,-79,,,
1764,HONDURAS,TRUJILLO,15.91,-85.96,,6.5,
1775,VENEZUELA,TRUJILLO,9.2,-70.3,,,
1855,HONDURAS,TRUJILLO,15.91,-85.96,,,
1886,VENEZUELA,TRUJILLO,9.3,-70.4,,,
2005,ALBANIA,TROPOJE,42.389,19.812,4,5.2,
1886,GREECE,"TRIPHYLIE (PELEPONESE), PHILIATRA",37.1,21.5,,7.5,600
1882,SRI LANKA,TRINCOMALEE,8.567,81.233,,,
778,ITALY,TREVISO,45.4,12.2,,5.6,48
1259,ITALY,TRAPANI,38,12.5,,,
854,ARMENIA,TOVIN,40,45,,,2000
1983,JAPAN,"TOTTORI, YONANGO",35.464,133.899,27,5.2,
1680,JAPAN,TOTOMI-NADA,34.6,137.6,,,
1953,IRAN,TORUD,35.4,55.1,,6.4,970
1871,BRITISH VIRGIN ISLANDS,TORTOLA ISLAND,18.4,-64.6,,,
1829,SPAIN,"TORREVIEJA, MURCIA",38.2,-0.9,,,2000
1984,JAPAN,"TORI SHIMA, OKINAWA",31.448,140.036,41,5.5,
2010,JAPAN,"TORI SHIMA, OKINAWA",25.93,128.425,25,7,
1932,IRAN,TORBET-I-KHEYDARLY,36.6,53.4,12,5.4,1070
2010,IRAN,TORBET-I-HEYDARIYEH,35.217,59.308,24,5.4,
1962,IRAN,"TORBAT HEYDARIYEH, AKHMEDABAD",35.1,58.7,8,5,6
2009,VANUATU,TONGOA,-17.026,168.329,13,5.7,
2009,VANUATU,TONGOA,-17.757,167.949,15,6.3,
1954,IRAN,"TONBAK,KANGAN,SABAKHI,AKHTAR",27.5,52,,5,1
1992,KYRGYZSTAN,TOLUK,42.142,73.575,27,7.5,75
1928,ITALY,TOLMEZZO,46.4,13,33,5.8,
1923,JAPAN,"TOKYO, YOKOHAMA",35.1,139.5,35,7.9,142807
1980,JAPAN,"TOKYO, YOKOHAMA",35.45,139.964,73,6,2
1649,JAPAN,TOKYO,35.5,140,,,200
1855,JAPAN,TOKYO,35.65,139.8,,7,6757
1894,JAPAN,TOKYO,35.7,139.9,,7.5,24
1978,JAPAN,"TOKKAIDO, OSHIMA",34.809,139.259,14,6.6,25
818,JAPAN,TOKKAIDO,35.2,139.3,,7.9,
1827,TURKEY,"TOKAT, ERBAA",40.7,36.6,,,
2007,CHILE,"TOCOPILLA, MARIA ELENA",-22.247,-69.89,40,7.7,2
1088,GEORGIA,TMOGVI,41.4,43.2,10,5.3,
1854,MEXICO,TLAPUJAHUA,19.8,-100.2,,,
1689,ECUADOR,TIXAN,-2.2,-78.9,5,6.8,
1913,BULGARIA,TIRNOVO,43.5,25.5,,6.8,
1988,ALBANIA,"TIRANA, ULCINJ-BAR",41.246,19.63,24,5.8,
2007,ALBANIA,TIRANA,41.172,19.897,14,4.5,
1995,INDONESIA,"TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,13,6.9,
1814,INDONESIA,"TIMOR ISLAND, KUPANG, KISSAR ISLAND",-10.217,123.633,,,
1857,INDONESIA,TIMOR ISLAND,-8,115.5,50,7,36
2005,INDONESIA,TIMOR,-9.948,124.48,10,5.3,
1987,INDONESIA,TIMOR,-8.247,124.155,33,6.5,125
2004,INDONESIA,TIMOR,-9.362,122.839,66,6.7,
1991,INDONESIA,TIMOR,-8.099,124.681,29,6.5,28
1896,INDONESIA,TIMOR,-8.25,124.75,,,250
1989,INDONESIA,TIMOR,-8.081,125.129,10,6.2,
1908,INDONESIA,TIMOR,-10,129,,6.6,
2005,AFGHANISTAN,"TILI, JALALABAD, BADAKHSHAN",36.357,71.093,225,6.5,5
1973,COSTA RICA,"TILARAN, ARENAL, RIO CHIQUITO",10.679,-84.759,33,6.5,26
1903,INDONESIA,"TIFU, MASARETE, KAJELI",-3,127.5,33,6.5,
1949,CHILE,TIERRA DEL FUEGO,-54,-71,33,7.8,1
1949,CHILE,TIERRA DEL FUEGO,-54,-71,33,7.8,3
1806,CHINA,TIBET (XIZANG PROVINCE),28.5,92,,7.7,100
2013,CHINA,TIBET (XIZANG PROVINCE),30.046,97.957,6,5.7,
2017,CHINA,TIBET (XIZANG PROVINCE),29.833,94.984,8,6.4,
1993,CHINA,TIBET (XIZANG PROVINCE),29.084,87.333,12,6.2,2
2009,CHINA,TIBET (XIZANG PROVINCE),31.158,85.902,13,5.8,
2003,CHINA,TIBET (XIZANG PROVINCE),29.573,95.605,33,5.5,
1834,CHINA,TIBET (XIZANG PROVINCE),28.6,87.1,,6,
1915,CHINA,TIBET (XIZANG PROVINCE),29.5,91.5,,7,170
1951,CHINA,TIBET (XIZANG PROVINCE),31.1,91.4,25,7.5,
1952,CHINA,TIBET (XIZANG PROVINCE),30.5,91.5,60,,54
1973,CHINA,TIBET (XIZANG PROVINCE),35.18,86.48,33,7.5,
1997,CHINA,TIBET (XIZANG PROVINCE),35.069,87.325,33,7.5,
2006,CHINA,TIBET (XIZANG PROVINCE),31.607,90.413,33,5.7,
2008,CHINA,TIBET (XIZANG PROVINCE),30.901,83.52,12,6.7,
2008,CHINA,TIBET (XIZANG PROVINCE),29.807,90.35,12,6.3,9
2016,CHINA,TIBET (XIZANG PROVINCE),32.022,95.027,8,5.2,
1923,VIETNAM,THUAN HAI PROVINCE,10.1,109,17,6.1,
1759,GREECE,THESSALONIKI; BULGARIA,41,24,,,
1978,GREECE,"THESSALONIKI, VOLVI, LANGADAS",40.759,23.268,10,5.6,
1902,TURKEY,THESSALONIKI,40.75,23.25,,6.6,
1978,GREECE,THESSALONIKI,40.739,23.229,3,6.4,50
1823,GREECE,THESPROTIKON,39.75,20.75,,,
-1610,GREECE,THERA ISLAND (SANTORINI),36.4,25.4,,,
1650,GREECE,THERA ISLAND (SANTORINI),36.4,25.4,,,
1866,GREECE,THERA ISLAND (SANTORINI),36.4,25.3,,6.1,
1853,GREECE,"THEBES, BOEOTIA",38.25,23.5,,,17
-27,EGYPT,THEBES,25.7,32.7,,,
1914,GREECE,THEBES,38.25,23.25,,6,
1858,MYANMAR (BURMA),"THAYETMYO, PROME",19,95,,,
1930,MYANMAR (BURMA),THARRAWADDY,17.4,95.5,,,50
2017,MYANMAR (BURMA),THARRAWADDY,17.399,96,10,5.1,2
1991,MYANMAR (BURMA),"THABEIKKYIN, MANDALAY",23.613,95.901,20,7.1,
1913,IRAN,TEYHAN,26.8,53.7,,5.8,11
746,ISRAEL,"TEVERYA (TIBERIAS), ARIHA (JERICHO)",32,35.5,,7,
1909,MOROCCO,"TETUAN (TETOUAN),ROMARS",35.6,-5.4,,,100
1688,RUSSIA,TERSK,43.7,44.7,15,5.3,
1951,USA,TERMINAL ISLAND,33.5,-118.2,,,
1955,USA,TERMINAL ISLAND,33.8,-118.2,,,
1961,USA,TERMINAL ISLAND,34,-118,16,,
1980,AZORES (PORTUGAL),"TERCEIRA, ANGRA DO HEROISMO",38.727,-27.75,13,6.9,69
1614,AZORES (PORTUGAL),TERCEIRA,38.4,-24.1,,,
1920,ALBANIA,"TEPELENE, DRAGOTI, PESHTANI, MARICAJ",40.2,20,25,6.2,200
2006,ALBANIA,TEPELENE,40.27,19.96,10,4.5,
1928,TURKEY,"TEPEKOY, TORBALI",38.1,27.4,,6.5,170
1988,AUSTRALIA,TENNANT CREEK,-19.847,133.803,5,6.3,
1988,AUSTRALIA,TENNANT CREEK,-19.829,133.882,5,6.7,
1810,CANARY ISLANDS,TENERIFE,28.2,-16.6,,,
2009,ECUADOR,TENA,-0.962,-77.817,35,5.4,
1989,INDONESIA,TEMBAGAPURA,-4.219,136.667,9,6,
1938,MEXICO,TELOLOAPAN,18.2,-99.5,,,
1838,ISRAEL,"TEL AVIV-YAFO (JAFFA),PALESTINE",32,34.5,,,3000
2009,KAZAKHSTAN,TEKELI,44.724,78.864,15,5.4,1
1897,MEXICO,TEHUANTEPEC,16,-95,,7,
1983,IRAN,"TEHRAN, DAMAVOND, AMOI",35.953,52.264,33,4.9,30
2020,IRAN,"TEHRAN, DAMAVAND",35.725,52.044,10,4.6,2
1895,IRAN,TEHRAN,35.7,51.4,,,
2014,MEXICO,TECPAN,17.235,-100.746,17,6.4,
2002,GEORGIA,TBILISI,41.765,44.96,10,4.3,5
1971,IRAN,"TAZARJ,BARGHANY,MADANUIYEH,BARAFTAB,DARAGAH",28.3,55.6,44,5.9,1
1730,PHILIPPINES,"TAYABAS,LAGUNA",14.1,121.4,,,
1855,TURKEY,"TAYABAS, BURSA",40.2,29.1,,6.7,1900
1722,PORTUGAL,"TAVIRA, ALGARVE",37.2,-7.6,,,
1856,PORTUGAL,"TAVIRA, ALGARVE",37.1,-8,,,
1895,NEW ZEALAND,TAUPO,-38.8,176,12,6,
2003,MYANMAR (BURMA),TAUNGDWINGYI; THAILAND,19.917,95.672,10,6.6,
2010,INDIA,TAULI,29.872,80.428,16,5.2,
1858,JAPAN,TATE-YAMA VOLCANO,36.571,137.59,,,
1971,RUSSIA,TATAR STRAIT,46.4,141.2,6,6.6,
1971,RUSSIA,TATAR STRAIT,46.3,140.9,16,6.2,
2007,RUSSIA,TATAR STRAIT,47.116,141.798,5,6.2,2
1857,IRAN,"TASUJ,AZARBAIJAN",38.3,45.4,,,
1859,AUSTRALIA,TASMANIA,-40.85,145.32,,,
1868,UZBEKISTAN,TASHKENT; KAZAKHSTAN,41.2,69.6,18,6.5,
1966,UZBEKISTAN,TASHKENT,41.2,69.1,,,10
2006,BHUTAN,TASHIGANG,26.912,91.705,10,5.8,
2009,BHUTAN,TASHIGANG,27.332,91.437,14,6.1,11
1890,IRAN,"TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD",36.6,54.6,10,7.2,171
1750,FRANCE,"TARBES, LOURDES",43.2,0.8,,,
1878,CHILE,TARAPACA,-19.92,-70.335,40,7.9,
2005,CHILE,TARAPACA,-19.987,-69.197,116,7.7,11
2005,CHILE,TARAPACA,-19.78,-68.98,11,5.8,
1656,LEBANON,TARABULUS (TRIPPOLES),34.4,35.85,,,
494,LEBANON,TARABULUS (TRIPOLIS); SYRIA,34.3,35.5,,,
1063,LEBANON,"TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ",34.3,35.5,,,
1339,LEBANON,TARABULUS (TRIPOLIS),34.3,35.5,,,60
1171,LEBANON,TARABULUS (TRIPOLI),34.4,35.8,,,
2004,TAIWAN,T'AO-YUAN,24.53,122.694,94,6.6,
1878,VANUATU,TANNA ISLAND,-19,168.5,,7.5,
1972,PAKISTAN,"TANGIR, GUPIS, RAWALPINDI, PESHAWAR",36,73.4,36,6.2,100
1773,MOROCCO,TANGIERS,35.8,-5.83,,,
1777,MOROCCO,"TANGIER,SALE",35.5,-5.4,,,
1938,COLOMBIA,TAMESIS,5.1,-75.5,130,,2
1966,CHILE,"TALTAL, CATALINA",-25.5,-70.7,47,7.8,3
1936,CHILE,TALTAL,-24.5,-70,60,7.3,1
1988,CHILE,TALTAL,-24.753,-70.433,37,6.7,
1928,CHILE,"TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",-35,-72,25,7.6,279
1969,INDONESIA,"TALAUD ISLANDS, MINDANAO, VISAYAN",4.8,127.4,70,7.5,
1907,INDONESIA,TALAUD ISLANDS,3,122,500,7.3,
1910,INDONESIA,TALAUD ISLANDS,4.5,126,,7.5,
1936,INDONESIA,TALAUD ISLANDS,4.5,126.5,60,7.7,
2018,AFGHANISTAN,TAKHAR;  PAKISTAN,36.99,71.369,112,6.2,
1666,JAPAN,TAKATA,37,138,,,1500
1935,TAIWAN,TAIZHONG,24.2,120.5,,5.8,
2003,TAIWAN,"T'AI-TUNG, KAO-HSIUN",23.039,121.362,10,6.8,
2006,TAIWAN,T'AIT-TUNG,22.868,121.278,9,6.2,
1986,TAIWAN,"TAIPEI, HUALIEN",23.901,121.574,34,7.8,15
1963,TAIWAN,"TAIPEI, HSINCH",24.5,122.1,47,7.3,15
1909,TAIWAN,TAIPEI,25,121.5,,7.3,9
1959,TAIWAN,TAIPEI,24.78,122.7,150,7.5,2
2002,TAIWAN,TAIPEI,24.279,122.179,33,7.1,5
2015,TAIWAN,TAIPEI,24.203,122.316,29,6.4,1
2019,TAIWAN,TAIPEI,24.475,121.947,10,5.9,1
1661,TAIWAN,TAINAN,23,120.2,,6,
1720,TAIWAN,TAINAN,20.3,120.3,,5.5,
1721,TAIWAN,TAINAN,23,120.3,,6,
1721,TAIWAN,TAINAN,23,120.2,,,2000
1736,TAIWAN,TAINAN,23.1,120.3,,6,260
1782,TAIWAN,TAINAN,24.5,120.5,,,40000
1862,TAIWAN,TAINAN,23.4,120,,6.5,2000
1930,TAIWAN,TAINAN,23.2,120.6,,6.3,4
1930,TAIWAN,TAINAN,23.2,120.6,,5.5,
1964,TAIWAN,TAINAN,23.2,120.6,33,7,107
2016,TAIWAN,TAINAN,22.97,120.46,10,6.4,117
1937,TAIWAN,TAIDONG,22.9,121.2,,7,
2000,TAIWAN,TAI-CHUNG COUNTY,24.223,121.058,10,5.4,3
1694,TAIWAN,TAIBEI (TAIPEI),25,121.5,,5.5,
1848,FRENCH POLYNESIA,TAHITI,-17.9,-149.9,,6.5,
977,IRAN,TAHERI (SIRAF),27.4,52.2,,,
978,IRAN,TAHERI (SIRAF),27.7,52.3,,5.3,2000
2010,PERU,TACNA,-18.058,-70.547,37,6.2,
1849,VENEZUELA,TACHIRA (LOBATERA),7.3,-72.3,13,6,40
2011,MYANMAR (BURMA),TACHILEK,20.687,99.822,8,6.8,75
863,IRAN,TABRIZ; ARMENIA,38,46.2,,,
1641,IRAN,"TABRIZ, KURDISTAN",38,46.1,,,30000
1854,IRAN,"TABRIZ, KHVOY (KHOI)",38.06,45.03,,4.5,
634,IRAN,TABRIZ,38,46.2,,,
858,IRAN,TABRIZ,38,46.2,,,
1042,IRAN,TABRIZ,38,46.2,,,40000
1042,IRAN,TABRIZ,38.1,46.3,15,7.6,50000
1272,IRAN,TABRIZ,38,46.2,,,250
1304,IRAN,TABRIZ,38.5,45.5,,6.7,
1441,IRAN,TABRIZ,38,46.2,,,
1527,IRAN,TABRIZ,38,46.2,,,
1550,IRAN,TABRIZ,38,46,,,
1633,IRAN,TABRIZ,38,46.2,,,
1640,IRAN,TABRIZ,38.2,46.3,15,5.1,
1650,IRAN,TABRIZ,38,46.2,,,
1664,IRAN,TABRIZ,38.1,46.3,,,1500
1668,IRAN,TABRIZ,38,46.2,,,
1721,IRAN,TABRIZ,37.9,46.7,,7.7,40000
1727,IRAN,TABRIZ,38,46.3,,,77000
1779,IRAN,TABRIZ,38,46.7,,6.5,10000
1780,IRAN,TABRIZ,38,46.2,20,7.7,50000
1883,IRAN,TABRIZ,38.1,46.3,,6.2,
1978,IRAN,TABAS,33.386,57.434,33,7.8,20000
1716,PHILIPPINES,"TAAL, MANILA, RIZAL, LAGUNA, CAVITE",14.002,120.993,,,
1749,PHILIPPINES,TAAL VOLCANO,14.002,120.993,,,
1754,PHILIPPINES,TAAL VOLCANO,14.002,120.993,,,12
1894,JAPAN,SYONAI,38.9,139.8,,7,726
1988,BANGLADESH,SYLHET; INDIA,24.688,91.57,33,5.8,2
1868,BANGLADESH,SYLHET,24.5,91.5,,7.5,
1896,INDONESIA,"SW. SUMATRA, JAVA",-3.5,102.5,130,6.8,
1861,INDONESIA,SW. SUMATRA,0.009,98,20,7,
1861,INDONESIA,SW. SUMATRA,1,97.5,70,7,
1861,INDONESIA,SW. SUMATRA,1,97.5,,6.8,
1861,INDONESIA,SW. SUMATRA,-1.5,100,,6.5,
1799,JAPAN,SW. HONSHU ISLAND,36.6,136.6,,6.4,
1892,JAPAN,SW. HONSHU ISLAND,37,136.8,,,
1989,IRAN,"SW, SHIRAZ, MAMASANI",29.964,51.655,33,5.1,
1983,COLOMBIA,"SW, POPAYAN",2.461,-76.686,22,4.9,350
1909,INDONESIA,SW SUMATRA,-2,101,40,7.6,
1915,JAPAN,SW RYUKYU ISLANDS,23.6,123.5,60,7.7,
1938,JAPAN,SW RYUKYU ISLANDS,25.208,125.115,35,7.6,
1880,PHILIPPINES,"SW OF LAKE BAY, MANILA",15,121.5,,,
1928,PHILIPPINES,SW MINDORO,12.4,120.9,33,7,
1995,JAPAN,SW HONSHU,34.583,135.018,22,6.9,5502
1985,MEXICO,SW COAST,17.802,-101.647,31,7.6,
-1050,JORDAN,SW,29.6,35,,6.2,
1613,SOUTH KOREA,SUWON,37.2,127,,6.3,
2004,POLAND,SUWALKI; RUSSIA,54.841,19.912,10,4.8,
1929,TURKEY,SUSEHRI,40.2,37.9,10,6.5,64
2017,PHILIPPINES,SURIGAO DEL NORTE,9.907,125.452,15,6.5,8
2017,PHILIPPINES,SURIGAO DEL NORTE,9.831,125.496,11,5.7,1
2012,PHILIPPINES,SURIGAO,10.037,125.633,18,5.8,
-525,LEBANON,"SUR (TYRE), SAYDA (SAIDA)",33.56,35.37,,,
306,LEBANON,"SUR (TYRE), SAYDA (SAIDA)",33.2,35.1,,,
-590,LEBANON,SUR (TYRE),33.27,35.22,,,
1987,USA,SUPERSTITION HILLS,33.082,-115.775,5,6.2,2
1977,INDONESIA,SUNDA ISLANDS,-11.085,118.464,33,8,
1982,INDONESIA,SUMBAWA ISLAND REGION,-9.265,118.479,33,6.4,
2016,INDONESIA,SUMBAWA ISLAND,-8.194,117.814,21,5.6,
2003,INDONESIA,SUMBAWA ISLAND,-8.807,118.524,33,5.5,
1818,INDONESIA,SUMBAWA ISLAND,-7,117,600,8.5,
1837,INDONESIA,SUMBAWA ISLAND,-8.5,118.5,,,
1979,INDONESIA,SUMBAWA ISLAND,-8.39,115.889,33,6.3,27
1979,INDONESIA,SUMBAWA ISLAND,-8.207,115.949,25,5.8,22
1979,INDONESIA,SUMBAWA ISLAND,-8.254,115.847,38,6.2,2
2007,INDONESIA,SUMBAWA ISLAND,-8.277,118.339,35,6.5,3
2009,INDONESIA,SUMATRA,-2.515,101.501,10,6.6,3
2007,INDONESIA,SUMATRA,-0.493,100.498,19,6.4,67
2008,INDONESIA,SUMATRA,-3.935,103.058,25,5.4,2
2018,INDONESIA,SUMATRA,-0.965,100.771,10,5.2,1
2019,INDONESIA,SUMATRA,-1.301,101.601,10,5.4,
1852,INDONESIA,SUMATRA,1.5,98,,6.8,
2004,INDONESIA,SUMATRA,-1.559,100.488,42,6,
2016,INDONESIA,SUMATRA,-2.097,100.665,50,6.6,1
1892,INDONESIA,SUMATRA,2.5,99.5,,,
2004,INDONESIA,SUMATRA,-0.466,100.655,56,5.1,5
2004,INDONESIA,SUMATRA,-1.549,100.54,66,5.4,
2008,INDONESIA,SUMATRA,-2.486,99.972,25,6.5,
2009,INDONESIA,SUMATRA,-1.479,99.49,20,6.7,
2009,INDONESIA,SUMATRA,-0.72,99.867,81,7.5,1117
2005,INDONESIA,SUMATRA,1.819,97.082,21,6.7,
2008,INDONESIA,SUMATRA,1.011,97.442,20,6.1,1
1681,INDONESIA,SUMATRA,,,,,
2006,INDONESIA,SUMATRA,-5.575,105.395,17,5.5,
2000,INDONESIA,SUMATRA,-4.721,102.087,33,7.9,103
1818,INDONESIA,SUMATRA,-4,101.5,,7,
1833,INDONESIA,SUMATRA,-2.5,100.5,75,8.3,
1958,INDONESIA,SUMATRA,-4.5,104,200,6.7,
1885,INDONESIA,SUMATRA,0,99.5,,6.8,
1887,INDONESIA,SUMATRA,5.4,96,,,
1891,INDONESIA,SUMATRA,5.4,96,,,
2016,INDONESIA,SUMATRA,5.283,96.168,13,6.5,104
2004,INDONESIA,SUMATRA,3.316,95.854,30,9.1,1001
1770,INDONESIA,SUMATRA,-5,102,,7,
1926,INDONESIA,SUMATRA,-0.3,100.4,,,
2007,INDONESIA,SUMATRA,-4.438,101.367,34,8.4,25
2007,INDONESIA,SUMATRA,-2.625,100.841,35,7.9,
2010,INDONESIA,SUMATRA,2.383,97.048,31,7.8,
2010,INDONESIA,SUMATRA,-3.487,100.082,20,7.8,
2011,INDONESIA,SUMATRA,2.965,97.893,91,6.7,10
2016,INDONESIA,SUMATRA,-4.952,94.33,24,7.8,
1977,INDONESIA,"SUMATERA,SINURAT,TALU",0.45,100.02,22,6,
1995,INDONESIA,"SUMATERA, JAMBI PROVINCE",-2.045,101.436,33,6.8,84
2005,INDONESIA,SUMATERA,2.085,97.108,30,8.6,1303
2002,INDONESIA,SUMATERA,2.824,96.085,30,7.3,3
1986,INDONESIA,SUMATERA,-3.904,103.461,33,5,
2006,INDONESIA,SUMATERA,0.626,99.859,30,5.8,7
1987,INDONESIA,SUMATERA,2.244,98.866,11,6.6,2
2013,INDONESIA,SUMATERA,4.927,95.907,12,6.1,1
1888,INDONESIA,SUMATERA,5.8,95,,,
1983,INDONESIA,SUMATERA,5.723,94.722,79,6.6,
2008,INDONESIA,SUMATERA,2.768,95.964,26,7.4,3
1914,INDONESIA,SUMATERA,-3.924,101.82,35,7.6,20
1926,INDONESIA,SUMATERA,-0.7,100.6,,5.8,
1954,INDONESIA,SUMABAWA,-8,119,,6.8,
2006,INDONESIA,SUMABAWA,-8.251,118.777,43,6.3,1
2009,INDONESIA,SUMABAWA,-8.207,118.631,18,6.6,2
1910,PHILIPPINES,SULU SEA,9,125.5,60,6.2,
1899,TURKEY,"SULTANHISAR,ATCA,NAZILLI,KUYUCAK,DENIZLI",37.93,28.84,,6.7,1117
1706,ITALY,"SULMONA TO CAMPOBASSO,  ABRUZZI",41.6,14.6,,,1000
1910,INDONESIA,SULAWESI-N. MOLUCCAS ISLANDS,4,127,,6.7,
1997,INDONESIA,"SULAWESI, PAREPARE",-3.776,119.727,33,5.9,20
2019,INDONESIA,SULAWESI ISLAND,-1.852,122.553,18,6.8,1
1857,INDONESIA,SULAWESI ISLAND,1.35,125.2,,,
1857,INDONESIA,SULAWESI ISLAND,1.35,125.2,,,
1938,INDONESIA,SULAWESI ISLAND,-1,120,,7.6,
1984,INDONESIA,SULAWESI,-2.823,118.806,33,6.6,2
2002,INDONESIA,SULAWESI,-1.196,121.333,10,6.2,48
1968,INDONESIA,SULAWESI,0.2,119.8,23,7.4,
2012,INDONESIA,SULAWESI,-1.315,120.096,10,6.3,6
2017,INDONESIA,SULAWESI,-1.292,120.431,12,6.6,
1964,INDONESIA,SULAWESI,-3.7,119.4,90,5.2,8
2006,INDONESIA,SULAWESI,-3.728,119.233,31,5.2,
1969,INDONESIA,SULAWESI,-3.1,118.9,13,7.4,64
2005,INDONESIA,SULAWESI,-1.198,119.933,11,6.3,1
1997,INDONESIA,SULAWESI,1.241,122.536,24,7,
1996,INDONESIA,SULAWESI,0.729,119.931,24,7.9,
1860,INDONESIA,SULAWESI,1.3,121,,,
1859,INDONESIA,SULAWESI,0.9,124.9,,,
2018,INDONESIA,SULAWESI,-2.916,119.435,9,5.6,7
1820,INDONESIA,SULAWESI,-7,119,80,7.5,
2000,INDONESIA,SULAWESI,-1.105,123.573,26,7.6,46
1907,INDONESIA,SULAWESI,-2,121,,,
2011,INDONESIA,SULAWESI,-4.586,122.771,8,6.1,
